Open,High,Low,Close,Adjusted_close,Volume
142.05,144.23,138.29,139.41,139.41,52303480
138.052,138.9523,136.21,137.83,137.83,40434719
142.9,144.6,141.01,142.69,142.69,54773820
143.86,144.49,139.76,140.64,140.64,44867340
142.05,143.57,140.1201,143.55,143.55,47643480
142.8,143.76,141.49,143.18,143.18,39014578
143.905,146.57,142.0,144.78,144.78,59102859
142.69,143.38,140.78,142.1,142.1,48149781
141.32,142.77,140.38,142.3,142.3,37458738
140.47,141.11,137.9142,138.23,138.23,47792840
135.72,136.32,132.85,133.22,133.22,50461500
133.41,134.99,132.95,133.62,133.62,36252102
132.75,135.47,132.1,133.8,133.8,38626980
135.26,137.42,134.28,137.28,137.28,37496281
136.55,137.83,130.5,130.75,130.75,53322660
129.9,131.9499,128.77,129.79,129.79,48101641
131.25,132.0745,126.85,128.73,128.73,49202992
129.45,130.59,126.74,126.77,126.77,53648699
126.0,128.02,123.66,127.82,127.82,56636152
129.5,131.38,126.39,127.51,127.51,57429832
127.92,128.62,124.74,126.11,126.11,43888594
126.12,129.82,125.4,129.48,129.48,47834488
127.72,130.28,127.1,129.82,129.82,43988512
130.91,133.69,130.76,133.27,133.27,49422262
134.095,136.49,134.0,136.45,136.45,53826859
131.01,131.4,126.27,126.82,126.82,72694008
127.364,128.84,126.33,128.55,128.55,45316770
127.38,130.37,125.495,126.28,126.28,52887199
122.78,123.87,120.7,123.53,123.53,115667797
122.16,124.71,121.8,124.66,124.66,47279727
123.35,124.3963,121.14,122.19,122.19,47698434
122.49,123.76,118.45,118.54,118.54,58498887
117.08,118.79,116.26,117.31,117.31,55229191
116.0,116.05,112.06,113.78,113.78,65126672
113.295,117.34,113.13,115.15,115.15,62723273
117.195,118.32,113.05,114.41,114.41,60094688
114.38,118.7,113.8,118.01,118.01,55763754
115.6,116.07,113.06,114.8,114.8,58969711
114.075,116.92,112.84,113.0,113.0,59479594
113.58,116.91,112.45,115.88,115.88,50941848
119.89,123.0,119.79,121.09,121.09,62812559
118.58,121.75,117.69,120.95,120.95,48217539
120.77,121.53,119.5,120.3,120.3,42253762
118.0,118.17,113.88,114.56,114.56,54677980
115.1,116.25,112.43,113.67,113.67,42339680
112.71,115.48,110.39,112.21,112.21,56432230
112.49,113.83,111.4,112.9,112.9,45728660
